Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2021,1,1,0,30,0,0,0,9.700000000000001
2021,1,1,1,30,0,0,0,0.6000000000000001
2021,1,1,2,30,0,0,0,0.5
2021,1,1,3,30,0,0,0,0.4
2021,1,1,4,30,0,0,0,0.30000000000000004
2021,1,1,5,30,0,0,0,0.30000000000000004
2021,1,1,6,30,0,0,0,0.30000000000000004
2021,1,1,7,30,0,0,0,0.1
2021,1,1,8,30,0,0,0,0.4
2021,1,1,9,30,4,4,0,1.8
2021,1,1,10,30,30,30,0,3.2
2021,1,1,11,30,65,210,595,4
2021,1,1,12,30,109,113,14,4.3
2021,1,1,13,30,99,100,2,4.3
2021,1,1,14,30,29,29,0,3.8000000000000003
2021,1,1,15,30,14,14,0,2.6
2021,1,1,16,30,4,4,0,1.2000000000000002
2021,1,1,17,30,0,0,0,0.6000000000000001
2021,1,1,18,30,0,0,0,0.2
2021,1,1,19,30,0,0,0,0
2021,1,1,20,30,0,0,0,-0.2
2021,1,1,21,30,0,0,0,-0.30000000000000004
2021,1,1,22,30,0,0,0,-0.4
2021,1,1,23,30,0,0,0,-0.4
2021,1,2,0,30,0,0,0,-0.30000000000000004
2021,1,2,1,30,0,0,0,-0.1
2021,1,2,2,30,0,0,0,0.4
2021,1,2,3,30,0,0,0,0.9
2021,1,2,4,30,0,0,0,1.3
2021,1,2,5,30,0,0,0,1.7000000000000002
2021,1,2,6,30,0,0,0,2
2021,1,2,7,30,0,0,0,2.2
2021,1,2,8,30,0,0,0,2.7
2021,1,2,9,30,28,46,245,3.5
2021,1,2,10,30,45,45,0,4.4
2021,1,2,11,30,21,21,0,5.1000000000000005
2021,1,2,12,30,31,31,0,5.5
2021,1,2,13,30,60,242,678,5.6000000000000005
2021,1,2,14,30,45,45,0,5.300000000000001
2021,1,2,15,30,16,16,0,4.6000000000000005
2021,1,2,16,30,6,6,0,3.9000000000000004
2021,1,2,17,30,0,0,0,3.5
2021,1,2,18,30,0,0,0,3.4000000000000004
2021,1,2,19,30,0,0,0,3.3000000000000003
2021,1,2,20,30,0,0,0,3.2
2021,1,2,21,30,0,0,0,3
2021,1,2,22,30,0,0,0,2.7
2021,1,2,23,30,0,0,0,2.5
2021,1,3,0,30,0,0,0,2.3000000000000003
2021,1,3,1,30,0,0,0,1.9000000000000001
2021,1,3,2,30,0,0,0,1.6
2021,1,3,3,30,0,0,0,1.3
2021,1,3,4,30,0,0,0,1.1
2021,1,3,5,30,0,0,0,0.8
2021,1,3,6,30,0,0,0,0.5
2021,1,3,7,30,0,0,0,0.30000000000000004
2021,1,3,8,30,0,0,0,0.30000000000000004
2021,1,3,9,30,5,5,0,0.9
2021,1,3,10,30,5,5,0,2
2021,1,3,11,30,7,7,0,3
2021,1,3,12,30,9,9,0,3.8000000000000003
2021,1,3,13,30,28,28,0,4.2
2021,1,3,14,30,7,7,0,3.9000000000000004
2021,1,3,15,30,4,4,0,2.8000000000000003
2021,1,3,16,30,4,4,0,1.8
2021,1,3,17,30,0,0,0,1.3
2021,1,3,18,30,0,0,0,0.8
2021,1,3,19,30,0,0,0,0.7000000000000001
2021,1,3,20,30,0,0,0,0.8
